!GEAR.DAT - Gear data file for most shadowrun gear
!-------------------------------------------------
!
! This file originated with Paolo's Gear.Dat file. It now includes
! data from most sourcebooks and some things from the web. See
! BOOKS.DAT for a list of source books and for control of which
! books are included by software.
!
!
! 02/01/96 Paolo M: provide original version
! 02/04/96 JW: update
!          Gurth: add accessories field to firearms
! 08/13/99 McMackie: eliminate duplicate entries and add SR3 support
! 06/10/02 Wordman: add weapon entries and many corrections
! 12/14/02 Jon Yarwood: add SOTA entries
! 01/03/03 Josef Wegner: add Target: Wastelands entries
! 10/17/03 TinkerGnome: add Biotech from M&M
! 11/14/03 TinkerGnome: update lots of stuff with Ratings
! 02/21/04 OurTeam: corrections
! 04/18/04 TinkerGnome: Added skillsoft jukeboxes, rearranged firearms, added much chemtech
! 12/03/04 Thistledown: added SOTA2064
!-------
! Types (Formats):
0-1|Edged weapon|10|Concealability|Reach|Damage|Weight|Availability|$Cost|Street Index|Book.Page|Legal|Notes|
0-2|Bow and crossbow|9|Concealability|Str.Min.|Damage|Weight|Availability|$Cost|Street Index|Legal|Book.Page|
0-3|Firearms|10|Concealability|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Accessories|Book.Page|
0-4|Rockets and Missiles|9|Intelligence|Damage|Blast|Scatter|Weight|Availability|$Cost|Street Index|Book.Page|
0-5|Ammunition|7|Concealability|Damage|Weight|Availability|$Cost|Street Index|Book.Page|
0-6|Firearms Accessories|9|Mount|Concealability|Rating|Weight|Availability|$Cost|Street Index|Notes|Book.Page|
0-7|Explosives|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-8|Clothing and Armor|8|Concealability|Ballistic|Impact|Weight|Availability|$Cost|Street Index|Book.Page|
0-9|S+S Vision Enhancers|7|Concealability|Mag:|Weight|Availability|$Cost|Street Index|Book.Page|
0-10|Surveillance and Security|6|Concealability|Weight|Availability|$Cost|Street Index|Book.Page|
0-11|Custom Gear|6|Concealability|Weight|$Cost|Street Index|Availability|Book.Page|
0-12|Cyberdeck Other|4|Availability|$Cost|Street Index|Book.Page|
0-13|Biotech|6|Rating|Availability|Weight|$Cost|Street Index|Book.Page|
0-14|Lifestyle|6|Concealability|Weight|Availability|$Cost|Street Index|Book.Page|
0-15|Magical Equipment|5|KarmaCost|Availability|$Cost|Street Index|Book.Page|
0-17|Cars|10|Handling|Speed|Body|Armor|Sig|Apilot|Availability|$Cost|Street Index|Book.Page|
0-18|VehicleGear|4|Availability|$Cost|Street Index|Book.Page|
0-19|VehicleFire|9|Type|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Book.Page|
0-20|Chips|7|Type|Rating|Memory|Availability|$Cost|Street Index|Book.Page|
0-21|Stuff With Ratings|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-22|Drugs|7|Addiction|Tolerance|Edge|Availability|$Cost|Street Index|Book.Page|
0-23|Vehicle Modifications|4|$Cost|Equipment|CF|Book.Page|
0-24|SR3 Cars|11|Handling|Speed/Accel|Body/Armor|Sig/Autonav|Pilot/Sensor|Cargo/Load|Seating|$Cost|Avail|Street Index|Book.Page|
0-25|Lifestyle2|2|$Cost|Book.Page|
0-26|Extras|2|$Cost|Book.Page|
0-27|Miscellaneous Weapons|8|Intelligence|Concealability|Weight|$Cost|Availability|Street Index|Accessories|Book.Page|
0-28|Simsence|4|Availability|$Cost|Street Index|Book.Page|
0-29|Chemical s|8|Origin|Rating|Speed|Vector|Availability|$Cost|Street Index|Book.Page|
0-30|Pocket Secretaries|11|Form|Concealability|Weight|Memory|ECCM|Data Encrypt|Comm Encrypt|$Cost|Street Index|Legal|Book.Page|
0-31|FireForce Storage Frames|5|Weight|Points|$Cost|Notes|Book.Page|
0-32|FireForce Attachments|4|Points Used|$Cost|Notes|Book.Page|
0-33|Cyberdeck Other|5|Availability|$Cost|Multiplier|Street Index|Book.Page|
0-34|Toxins|7|Damage|Vector|Speed|Availability|$Cost|Street Index|Book.Page|
0-35|Nanoware Ratings|6|Type|Rating|Availability|$Cost|Street Index|Book.Page|
0-36|OCC Encoders|6|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-37|Cyberdeck Otaku|7|Availability|$Cost|Street Index|Multiplier|KarmaCost|Notes|Book.Page|
0-38|Credstick|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
!--------------------------------------------------------------------------------
!   1234567890123456789012345678901234567890123
1-Weapons
2-Melee weapons
3-Edged weapons
4-* Axe(EDG)                       1|2|1|(STR)S|2.5|2/4hrs|60|1|cb1.2|||
4-* Set.-Arasaka "PMS" Adv.  (SMG) 3|4|40(c)|SA/BF|6M|3.5|4/72hrs|1150|1|Caseless, Smartlink, Sound Suppressor|sr2.???|||
4-* Sternmeyer SMG 21        (SMG) 3|4|30(c)|SA.BF/FA|7M|3.25|4/36hrs|1000|1.1|None|sr2.???|||
4-* Steyr MP i 25            (SMG) 3|4|35(c)|SA/BF/FA|6M|3.75|5/60hrs|725|2|Gas Vent (1), Laser Sight|sr2.???|||
4-* Syrko Eagle              (SMG) 3|4|50(c)|SA/FA|6M|3|5/3days|900|1|Gas Vent (2), Smartlink|sr2.???|||
4-* Uzi III                  (SMG) 3|5|24(c)|BF|6M|2|4/24hrs|600|.75|Laser Sight, Fold Stock(1RC)|sr3.278|||
4-* Uzi 3S                   (SMG) 3|5|24(c)|SA/BF|6M|2.5|10/36hrs|900|2|Laser Sight, Sound Suppressor|sr2.???|||
4-* Uzi IV                   (SMG) 3|4|30(c)|SA/BF/FA|6M|3|6/60hrs|1000|1|Gas Vent (2), Laser Sight|sr2.???|||
4-* Uzi IV Smart             (SMG) 3|5|30(c)|SA/BF/FA|6M|3.25|8/60hrs|1200|1.25|Gas Vent (2), Smartlink|sr2.???|||
4-* Uzi Miniauto 9           (SMG) 3|5|30(c)|BF/FA|6M|3|4/36hrs|700|1|None|sr2.???|||
4-* Walther S900             (SMG) 3|4|30(c)|SA/BF|6M|3|5/36hrs|900|1|Gas Vent (2), Laser Sight|sr2.???|||
4-H&K
5-* H&K 227  .227HK         (Carb) 3|4|30(c)|SA/BF/FA|6M|2.3|3/48hrs|1200|1|Integral Smartlink-2|ray.000|||
5-* H&K 227S 9mm Para        (SMG) 3|3|30(c)|SA/BF/FA|7M|3|3/48hrs|1500|1|Integral Smartlink-2|ray.000|||
5-* MP5A1 9mm Para           (SMG) 3|4|30(c)|SA/FA|8M|2.5|3/48hrs|1050|1|No Stock (Receiver Cap), SEF Trigger Group|ray.000|||
5-* MP5A2 9mm Para           (SMG) 3|3|30(c)|SA/FA|8M|2.9|3/48hrs|1100|1|Fixed Stock, SEF Trigger Group|ray.000|||
5-* MP5A3 9mm Para           (SMG) 3|3|30(c)|SA/FA|8M|2.9|3/48hrs|1150|1|Retractable Stock, SEF Trigger Group|ray.000|||
5-* MP5A4 9mm Para           (SMG) 3|3|30(c)|SA/BF/FA|8M|3|4/48hrs|1150|1|Fixed Stock, 3-Round Burst Trigger Group|ray.000|||
5-* MP5A5 9mm Para           (SMG) 3|3|30(c)|SA/BF/FA|8M|3|4/48hrs|1250|1|Retractable Stock, 3-Round Burst Trigger Group|ray.000|||
5-* MP5N  9mm Para           (SMG) 3|3|30(c)|SA/FA|8M|2.9|6/36hrs|1280|1|Retractable Stock|ray.000|||
5-* MP5K  9mm Para         (MPist) 3|4|15(c)|SA/FA|7M|2|6/36hrs|950|1|Forgrip -1 RC, Any range over short incurs additional +1/Range level|ray.000|||
5-* MP5KA1 9mm Para        (MPist) 3|4|15(c)|SA/FA|7M|2|6/36hrs|950|1|Forgrip -1 RC, Any range over short incurs additional +1/Range level|ray.000|||
5-* MP5KA4 9mm Para        (MPist) 3|4|15(c)|SA/BF/FA|7M|2|6/36hrs|1000|1|Forgrip -1 RC, Any range over short incurs additional +1/Range level|ray.000|||
5-* MP5KA5 9mm Para        (MPist) 3|4|15(c)|SA/BF/FA|7M|2|6/36hrs|1000|1|Forgrip -1 RC, Any range over short incurs additional +1/Range level|ray.000|||
5-* MP5K PDW 9mm Para      (MPist) 3|3|15(c)|SA/FA|7M|2.8|6/72hrs|1150|1|Forgrip -1 RC, Folding Stock|ray.000|||
5-* MP5KN PDW 9mm Para     (MPist) 3|3|15(c)|SA/FA|7M|2.8|6/72hrs|1150|1|Forgrip -1 RC, Folding Stock|ray.000|||
5-* MP5SD1 9mm Para          (VHP) 3|4|30(c)|SA/FA|6M|3.3|3/48hrs|1690|1|No stock (Receiver Cap), SEF Trigger Group|ray.000|||
5-* MP5SD2 9mm Para          (VHP) 3|3|30(c)|SA/FA|6M|3.5|3/48hrs|1710|1|Fixed Stock, SEF Trigger Group|ray.000|||
5-* MP5SD3 9mm Para          (VHP) 3|3|30(c)|SA/FA|6M|3.5|3/48hrs|1760|1|Retractable Stock, SEF Trigger Group|ray.000|||
5-* MP5SD4 9mm Para          (VHP) 3|4|30(c)|SA/BF/FA|6M|3.3|4/48hrs|1720|1|No stock (Receiver Cap), 3-Round Burst Trigger Group|ray.000|||
5-* MP5SD5 9mm Para          (VHP) 3|3|30(c)|SA/BF/FA|6M|3.5|4/48hrs|1760|1|Fixed Stock, 3-Round Burst Trigger Group|ray.000|||
5-* MP5SD6 9mm Para          (VHP) 3|3|30(c)|SA/BF/FA|6M|3.5|4/48hrs|1840|1|Retractable Stock, 3-Round Burst Trigger Group|ray.000|||
5-* MP5/10A2 10mm Para       (SMG) 3|3|30(c)|SA/FA|10M|2.9|6/36hrs|1280|1|Fixed Stock, Ambidextrous Navy Trigger Group|ray.000|||
5-* MP5/10A3 10mm Para       (SMG) 3|3|30(c)|SA/FA|10M|2.9|6/36hrs|1280|1|Retractable Stock, Ambidextrous Navy Trigger Group|ray.000|||
5-* MP5/40A2 .40 S&W         (SMG) 3|3|30(c)|SA/FA|9M|2.9|6/36hrs|1280|1|Fixed Stock, Ambidextrous Navy Trigger Group|ray.000|||
5-* MP5/40A3 .40 S&W         (SMG) 3|3|30(c)|SA/FA|9M|2.9|6/36hrs|1280|1|Retractable Stock, Ambidextrous Navy Trigger Group|ray.000|||
5-* MP7 PDW  4.6x30mm        (SMG) 3|4|20(c)|SA/FA|5M|1.2|6/7days|820|1|Retractable Stock|Underbarrel Grip, Rail Mount|ray.000|||
5-* MP7-SL2 PDW 4.6x30mm     (SMG) 3|4|20(c)|SA/FA|5M|1.5|6/7days|1580|1|Retractable Stock|Underbarrel Grip, Integral Smartlink-2|Rail Mount|ray.000|||
5-* UMP9A2  9mm Para         (SMG) 3|3|30(c)|SA/BF/FA|7M|2.1|3/48hrs|700|1|Folding Stock, Sling|ray.000|||
5-* UMP40A2 .40 S&W          (SMG) 3|3|30(c)|SA/BF/FA|8M|2.1|3/48hrs|700|1|Folding Stock, Sling|ray.000|||
5-* UMP45A2 .45 ACP          (SMG) 3|3|25(c)|SA/BF/FA|8M|2.3|3/48hrs|720|1|Folding Stock, Sling|ray.000|||
4-Israeli Military Industries
5-* UZI 9mm Para             (SMG) 3|3|32(c)|SA/FA|8M|3.7|2/24hrs|1150|1|Retractable Stock|ray.000|||
5-* Mini UZI 9mm Para        (SMG) 3|4|25(c)|SA/FA|7M|2.7|3/36hrs|950|1|Retractable Stock|ray.000|||
5-* Micro UZI 9mm Para     (MPist) 3|4|20(c)|SA/FA|7M|2|4/48hrs|680|1|Retractable Stock|ray.000|||
5-* Micro UZI .45 ACP      (MPist) 3|4|16(c)|SA/FA|8M|2.2|4/48hrs|680|1|Retractable Stock|ray.000|||
4-Izhmash
5-* Bizon .380 ACP           (VHP) 3|3|64(c)|SA/FA|5M|2.5|3/7days|500|1|Folding Stock, Flash Supressor|ray.000|||
5-* Bizon 9mm Makarov        (SMG) 3|3|64(c)|SA/FA|7M|2.5|3/7days|500|1|-2 Power if using flash supressor, Folding Stock, Flash Supressor|ray.000|||
5-* Bizon 9mm Para           (SMG) 3|3|64(c)|SA/FA|7M|2.5|3/7days|500|1|Folding Stock, Flash Supressor|ray.000|||
5-* Bizon PP27 7.62x25mm   (LCarb) 3|3|45(c)|SA/FA|7M|2.5|3/7days|500|1|Folding Stock, Flash Supressor|ray.000|||
4-Fabrique Nationale
5-* P90 5.7x28mm           (LCarb) 3|3|50(c)|SA/FA|6M|2.5|6/7days|1330|1|Fixed Stock, Optical Sight (No Mag), 5L when using subsonic ammunition, Standard ammunition provides a x0.5 Armor Rating modifier|ray.000|||
4-FAMAE
5-* SAF 9mm Para Fixed stock (SMG) 3|3|30(c)|SA/BF/FA|7M|2.7|3/48hrs|780|1|Fixed Stock|ray.000|||
5-* SAF 9mm Para Fold stock  (SMG) 3|3|30(c)|SA/BF/FA|7M|2.7|3/48hrs|780|1|Folding Stock|ray.000|||
5-* SAF .40 S&W Fixed stock  (SMG) 3|3|30(c)|SA/BF/FA|8M|2.7|3/48hrs|800|1|Fixed Stock|ray.000|||
5-* SAF .40S&W Folding stock (SMG) 3|3|30(c)|SA/BF/FA|8M|2.7|3/48hrs|800|1|Folding Stock|ray.000|||
5-* Mini SAF 9mm Para      (MPist) 3|4|30(c)|SA/BF/FA|7M|2.3|5/72hrs|700|1|Forgrip|ray.000|||
5-* SAF Silenciada 9mm Para  (SMG) 3|3|30(c)|SA/BF/FA|6M|2.7|5/72hrs|1150|1|Integral Silencer|ray.000|||
4-Steyr
5-* AUG 9mm Para           (LCarb) 3|4|25(c)|SA/FA|8M|3.3|6/7days|700|1|1.5 Optical Scope, Fixed Stock, Forgrip|ray.000|||
5-* TMP 9mm Para             (SMG) 3|4|30(c)|SA/BF/FA|7M|2.7|3/48hrs|750|1|Forgrip -1 RC|ray.000|||
5-* TMP 10mm Auto            (SMG) 3|4|30(c)|SA/BF/FA|9M|2.8|3/48hrs|780|1|Forgrip -1 RC|ray.000|||
5-* TMP227 .227 HK           (SMG) 3|4|30(c)|SA/BF/FA|6M|2.4|3/48hrs|780|1|Forgrip -1 RC, Damage code 5L if subsonic ammunition is used|ray.000|||
3-Assault rifles
4-* Ares Alpha              (AsRf) 3|2|42(c)|SA/BF/FA|8M|5.25|8/48hrs|2000|4|Grenade Launcher 8(m), RC(2), Smartlink-2|cc.22|||
4-* Ares HVAR               (AsRf) 3|2|50(c)|SA/BF/FA|6M|5|14/7days|3200|4|RC(3), Smartlink-2, 6 rnd BF = 12D, See Rules|cc.22|||
4-* AK-47                   (AsRf) 3|4|30(c)|SA/BF/FA|9M|6|24/14days|900|2|None|tss.3|||
4-* AK-97                   (AsRf) 3|3|38(c)|SA/BF/FA|8M|4.5|3/36hrs|700|2|None|sr3.278|||
4-* AK-98                   (AsRf) 3|2|38(c)|SA/BF/FA|8M|6|8/4days|2500|4|Grenade Launcher (6-shot)|sr3.278|||
4-* AKR-20                  (AsRf) 3|3|30(c)|SA/BF/FA|8M|4|5/48hrs|1000|2|Gas Vent (1), Laser Sight|sr2.???|||
4-* Anti-Vehicular Rifle    (AsRf) 3|3|10(c)|SA/BF|8S|5.3|14/16days|6000|3.2|Mag:(2)|sr2.???|||
4-* Colt M22A2              (AsRf) 3|3|40(c)|SA/BF/FA|8M|4.75|4/3days|1600|2|Gas Vent I(1RC), Mag:(2), Grenade Launcher 6(m)|cc.22|||
4-* Colt M-23               (AsRf) 3|3|40(c)|SA/BF/FA|8M|4.5|6/36hrs|950|2|None|cc.22|||
4-* Darra-Polytechnic M-9   (AsRf) 3|3|40(c)|SA/FA|8M|3.75|3/36hrs|1300|.9|Caseless, Mag:(1)|cb1.34|||
4-* FA-SB5                  (AsRf) 3|2|30(c)|SA/BF|10S|6.2|14/7days|3000|2|drum fed, can also accept belted ammo, heavy weapon recoil applies|tss.7|||
4-* Federated Arms Light Assault15 3|3|30(c)|BF/FA|8M|3.5|4/36hrs|400|1.25|Caseless, Mag:(1)|cb1.35|||
4-* Federated Arms Light Assault15 3|3|30(c)|BF/FA|8M|3.5|4/36hrs|700|1.25|Caseless, Mag:(1), Smartlink|cb1.35|||
4-* FN AGRL                 (AsRf) 3|-|40(c)|SA/BF/FA|8M|5|5/36hrs|2000|2|Gas Vent (2), Grenade Launcher (6-shot), Laser Sight, Mag:(2)|sr2.???|||
4-* FN HAR                  (AsRf) 3|2|35(c)|SA/BF/FA|8M|4.5|4/48hrs|1200|2|Laser Sight, Gas Vent II(2RC), Fold Stock(1RC)|sr3.278|||
4-* FN RAL                  (AsRf) 3|3|30(c)|SA/FA|8M|5|5/60hrs|1200|2|Mag:(1)|sr2.???|||
4-* H&K G9A4z/i             (AsRf) 3|3|30(c)|SA/BF/FA|8M|4|3/36hrs|1500|4|None|sr2.???|||
4-* Heckler & Koch G12A3z   (AsRf) 3|2|32(c)|SA/BF/FA|8M|5.25|8/4days|2200|3|Laser sight, Gas Vent II(2RC), Tele. Stock, Can have UB GrLn.(-1 Conc)|cc.22|||
4-* H&K G36A3C Compact      (Carb) 3|3|30(c)|SA/BF/FA|8M|3|4/9 Days|980|2|Retr. Stock provides +1 conceal|bjf.00|||
4-* H&K HK 70               (AsRf) 3|2(1)|20(45)(c)|SA/BF/FA|8M|3.75|8/7days|950|2|Gas Vent (2)|sr2.???|||
4-* H&K HK 70 K             (AsRf) 3|3(2)|20(45)(c)|SA/BF/FA|8M|4|8/7days|950|2.25|Gas Vent (2)|sr2.???|||
4-* Honda AR-1              (AsRf) 3|3|28(c)|BF/FA|8M|4.25|9/6 days|1000|2|Magnifcation (1)|sr2.???|||
4-* Kalashnikov A-80        (AsRf) 3|1|35(c)|SA/FA|8M|4.5|4/36hrs|1100|2.5|None|sr2.???|||
4-* Kalishnikov AK-100      (AsRf) 3|-|30(c)|SA/BF/FA|8M|5.75|5/36hrs|1000|2|Gas Vent (2)|sr2.???|||
4-* Kalishnikov AK-100 Smart(AsRf) 3|-|30(c)|SA/BF/FA|8M|5.75|5/36hrs|2000|2|Gas Vent (2), Smartlink|sr2.???|||
4-* Kalishnikov AK-101      (AsRf) 3|2|30(m)|SA/BF/FA|8M|5.5|8/4days|1600|2|Gas Vent (2), Laser Sight|sr2.???|||
4-* Kalishnikov AK-101 Smart(AsRf) 3|2|30(m)|SA/BF/FA|8M|5.5|8/4days|3200|2|Gas Vent (2), Smartlink|sr2.???|||
4-* M-16A1                  (AsRf) 3|3|20(c)|SA/BF/FA|9M|4|8/4days|1500|2|available 30 round banana clips|tss.3|||
4-* M-16B                   (AsRf) 3|4/5|20(c)|SA/BF|9M|3.8|8/4days|1625|2|Fold Stock, available 30 round banana clip|tss.3|||
4-* Maremont LR             (AsRf) 3|3|36(c)|BF/FA|8M|4.25|6/4days|1400|2.5|Laser Sight, Mag:(1)|sr2.???|||
4-* Militech Cyborg Rifle   (AsRf) 3|2|30(c)|SA|6S|7.5|10/7days|800|2.5|Gas Vent (2)|sr2.???|||
4-* Militech M-31a1 AICW    (AsRf) 3|1|150(c)|SA/BF/FA|6M|6.5|20/28days|1695|4.5|Grenade Launcher (4-shot)|cb1.31|||
4-* Militech Ronin LgtAssalt(AsRf) 3|1|35(c)|SA/BF/FA|8M|3.5|4/48hrs|900|2|Laser Sight|sr2.???|||
4-* Parker Carbine          (AsRf) 3|3|500(c)|FA|6M|5.1|12/7days|2500|1|Caseless, Gas Vent (2), RC:is halved|sr2.???|||
4-* Semopal vz/88V          (AsRf) 3|2|35(c)|SA/BF/FA|8M|5.5|5/36hrs|1800|2|Laser sight, Gas Vent II(2RC), Fold Stock, Mag:(2)|cc.22|||
4-* S&W MdF "Cyborg Assault"(AsRf) 3|4|8(c)|SS|8S|4|10/5days|1650|2.5|22mm Muzzle Adaptor|cb1.35|||
4-* SIG 880                 (AsRf) 3|2|30(c)|SA/BF|8M|4|4/36hrs|850|2|Gas Vent (2), Laser Sight|sr2.???|||
4-* SIG 882                 (AsRf) 3|3|30(c)|SA/BF|8M|4|5/36hrs|850|2|Gas Vent (2), Laser Sight|sr2.???|||
4-* Seco M-995              (AsRf) 3|-|30(c)|SA/BF/FA|8M|5.75|10/4days|3000|3|Gas Vent (3), Grenade Launcher (6-shot), Laser Sight, Rangefinder Grenade Link|sr2.???|||
4-* Seco M-995 Smart        (AsRf) 3|-|30(c)|SA/BF/FA|8M|5.75|10/4days|6000|3|Gas Vent (3), Grenade Launcher (6-shot), Rangefinder Grenade Link, Smartlink|sr2.???|||
4-* Shadow Arms Bullpup AR  (AsRf) 3|4|40(c)|SA/BF/FA|8M|3.5|8/7days|3700|2|1 point recoil comp|tss.7|||
4-* Vehement A-V Standard   (AsRf) 3|2|8(c)|SA/BF|8S|6|12/7days|8000|3|Uses Gunnery skill and Heavy Weapons recoil|tss.6|||
4-* Vehement A-V Full Auto  (AsRf) 3|2|8(c)|SA/BF/FA|8S|6|12/7days|8500|3|Must be mounted, uses Heavy Weapon recoil|tss.6|||
4-* Car-33 OIWS 5mm Caseles (AsRf) 3|2|50(c)|SA/BF/FA|8M|4.17|18/36 wks|7530|4|Smartlink II, Advanced Biometric Safety, 20mm ATG Grenade Launcher|ray.000|||
4-* Armalite AR10 Carbine   (AsRf) 3|2|20(c)|SA/FA|9S|4|5/72hrs|1435|2|gas vent 2, retractable stock (+1 conceal when retracted), double uncompensated recoil.  Uses 7.62mm NATO|ray.000|||
4-* Armalite AR10            (LMG) 3|2|20(c)|SA/FA|9S|4.35|4/72hrs|1435|2|gas vent 2, double uncompensated recoil.  Uses 7.62mm NATO|ray.000|||
4-* Armalite AR10(T)        (Snip) 3|2|10(c)|SA|9S|4.7|5/14 days|2080|3|gas vent 2, double uncompensated recoil.  Uses 7.62mm NATO|ray.000|||
4-* F2000 5.56mm            (AsRf) 3|3|30(c)|SA/FA|9M|3.6|3/4days|950|2||ray.000|||
4-* FAMAS F1 5.56mm NATO    (AsRf) 3|2|25(c)|SA/BF/FA|9M|3.6|5/7days|950|3|folding bipod, seperate switch for BF/FA (another simple action)|ray.000|||
4-* FAMAS G1 5.56mm NATO    (AsRf) 3|2|30(c)|SA/BF/FA|9M|3.6|5/7days|880|3|folding bipod, seperate switch for BF/FA (another simple action)|ray.000|||
4-* Ruger AC556F 5.56mmNATO (Carb) 3|3|20(c)|SA/BF/FA|9M|3.5|6/5days|480|3|folding stock (+1 conceal when folded)|ray.000|||
4-* Ruger AC556FSD .300Whis (Carb) 3|2|20(c)|SA/BF/FA|8M|3.5|6/5days|1650|3|folding stock (+1 conceal when folded), 9M if supersonic|ray.000|||
4-* Ruger Mini14SD .300Whis (Carb) 3|2|5(c)|SA|8M|3.5|6/5days|1350|3|folding stock (+1 conceal when folded), 9M if supersonic|ray.000|||
4-* Sig SG550 5.56mm NATO   (AsRf) 3|2|30(c)|SA/BF/FA|9M|4.1|4/9days|1250|2|folding stock (+1 conceal when folded), folding bipod|ray.000|||
4-* Sig SG551 5.56mm NATO   (Carb) 3|3|30(c)|SA/BF/FA|9M|3.5|4/9days|1100|2|folding stock (+1 conceal when folded)|ray.000|||
4-* Sig SG552 5.56mm NATO   (Carb) 3|4|30(c)|SA/BF/FA|8M|3.5|4/9days|1050|2|folding stock (No conceal bonus when folded)|ray.000|||
4-* M1A 7.62mm NATO          (LMG) 3|2|10(c)|SA|9S|4.2|4/48hrs|1300|2|can use 20 rnd clip, double uncompensated recoil|ray.000|||
4-* M14 7.62mm NATO          (LMG) 3|2|20(c)|SA/FA|9S|4.2|6/72hrs|1500|3|can use 10 rnd clip, double uncompensated recoil|ray.000|||
4-* SOCOM16 7.62mm NATO     (AsRf) 3|3|20(c)|SA|9S|4|6/72hrs|1730|3|forward scope mount, can use 10 rnd clip, double uncompensated recoil|ray.000|||
4-* AUG A1 5.56mm NATO      (AsRf) 3|3|30(c)|SA/FA|9M|3.6|6/7days|1050|3|gray, green, or black, level 0 scope, stock and forgrip each give 1 recoil comp|ray.000|||
4-* AUG A2 5.56mm NATO      (AsRf) 3|3|30(c)|SA/FA|9M|3.6|6/7days|1050|3|gray, green, or black, M1913 Rail, level 0 scope, stock and forgrip each give 1 recoil comp|ray.000|||
4-* Vektor CR21 5.56mm NATO (AsRf) 3|3|35(c)|SA/FA|9M|3.8|5/7days|1185|3|Can use 20 rnd clip, Reflex sight (TN-1), Picatinny Rail.  Fire mode switch not Smartlink compatible|ray.000|||
4-* Vektor CR21C 5.56mmNATO (AsRf) 3|4|20(c)|SA/FA|8M|3.5|5/7days|1050|3|Can use 35 rnd clip, Reflex sight (TN-1), Picatinny Rail.  Fire mode switch not Smartlink compatible|ray.000|||
4-* Zastava M77B1 7.62mNATO (SptR) 3|2|30(c)|SA/FA|9S|5|4/9days|900|2|double uncompensated recoil|ray.000|||
4-* Zastava M77AB1 7.62NATO (SptR) 3|2|30(c)|SA/FA|9S|4.8|4/9days|920|2|double uncompensated recoil, folding stock (+1 conceal when folded)|ray.000|||
4-* Zastava M77LMG 7.62NATO (SptR) 3|-|30(c)|SA/FA|9S|5.4|4/9days|1050|2|21" heavy barrel (+1 comp), bipod, double uncompensated recoil|ray.000|||
4-Singapore Tech Kinetics
5-* SAR 21 5.56mm NATO      (AsRf) 3|3|30(c)|SA/FA|9M|4|5/7days|1395|3|laser targeter (TN-1).  Fire mode switch not Smartlink compatible|ray.000|||
5-* SAR MMS 5.56mm NATO     (AsRf) 3|3|30(c)|SA/FA|9M|3.6|5/7days|1295|3|laser targeter (TN-1)|ray.000|||
5-* SAR 21 5.56mm NATO sc   (AsRf) 3|3|30(c)|SA/FA|9M|4|5/7days|1425|3|scope 1, laser targeter (TN-1).  Fire mode switch not Smartlink compatible|ray.000|||
5-* SAR MMS 5.56mm NATO sc  (AsRf) 3|3|30(c)|SA/FA|9M|3.6|5/7days|1325|3|scope 1, laser targeter (TN-1)|ray.000|||
4-Colt M16 Series
5-* AR15 .223 Rem           (AsRf) 3|2|30(c)|SA|9M|3.4|2/24hrs|800|2||ray.000|||
5-* M16A1 5.56mm NATO       (AsRf) 3|2|30(c)|SA/FA|9M|2.9|6/7 days|2000|3||ray.000|||
5-* M16A2 5.56mm NATO       (AsRf) 3|2|30(c)|SA/BF|9M|3.4|6/36hrs|800|3||ray.000|||
5-* M16A3 5.56mm NATO       (AsRf) 3|2|30(c)|SA/FA|9M|3.5|6/36hrs|800|3|integral M1913 Picatinny Rail|ray.000|||
5-* M16A4 5.56mm NATO       (AsRf) 3|2|30(c)|SA/BF|9M|3.5|6/36hrs|800|3||ray.000|||
5-* M4 5.56mm NATO          (Carb) 3|3|30(c)|SA/BF|9M|2.6|6/36hrs|750|3|retractable stock (+1 conceal retracted)|ray.000|||
5-* M4A1 5.56mm NATO        (Carb) 3|3|30(c)|SA/FA|9M|2.7|6/36hrs|750|3|retractable stock (+1 conceal retracted), integral M1913 Picatinny Rail|ray.000|||
5-* M4C 5.56mm NATO         (Carb) 3|3|30(c)|SA/FA|8M|2.4|6/36hrs|700|3|retractable stock (+1 conceal retracted)|ray.000|||
4-Colt M23 Series
5-* AR23 .223 Rem           (AsRf) 3|3|30(c)|SA|9M|3.5|2/24hrs|800|2||ray.000|||
5-* M23 5.56mm NATO         (AsRf) 3|3|40(c)|SA/BF/FA|9M|3.5|6/36hrs|950|3||ray.000|||
5-* M23C 5.56mm NATO        (Carb) 3|3|30(c)|SA/BF/FA|9M|2.6|6/36hrs|1050|3|retractable stock (+1 conceal retracted)|ray.000|||
5-* M23C3 .300 Whisper      (Carb) 3|4|30(c)|SA/BF/FA|8M|3|6/72hrs|1800|3||ray.000|||
4-Fusil Automatique L�gere
5-* FAL 50.00 7.62mm NATO    (LMG) 3|2|20(c)|SA/FA|9S|4.3|5/7days|1500|3|double uncompensated recoil|ray.000|||
5-* FAL 50.64 7.62mm NATO    (LMG) 3|2|20(c)|SA/FA|9S|3.9|5/7days|1500|3|folding stock (+1 conceal when folded), double uncompensated recoil|ray.000|||
